ssh://kangpeipei@10.23.10.163:22/home/kangpeipei/anaconda3/envs/sem-pcyc/bin/python3.7 -u /home/kangpeipei/hx/cWGAN_demo/train.py
Parameters:	Namespace(batch_size=64, channels=3, dataset='TU-Berlin', dim_out=25600, epoch_size=100, epochs=10, filter_sketch=False, gamma=0.1, gzs_sbir=False, im_sz=160, lambda_disc_im=1.0, lambda_disc_sk=1.0, lambda_gen=1.0, log_interval=1, lr=0.0001, milestones=[], momentum=0.9, ngpu=1, num_workers=4, photo_sketch='./pretrained/photosketch.pth', semantic_models=['word2vec-google-news'], sk_sz=160, test=False)
Checkpoint path: ./CheckPoints/TU-Berlin/word2vec-google-news/25600
Logger path: ./LogFiles/TU-Berlin/word2vec-google-news/25600
Result path: ./Results/TU-Berlin/word2vec-google-news/25600
Loading data...../sem-pcyc-master/datasets/TU-Berlin/images/ ../sem-pcyc-master/datasets/TU-Berlin/sketches/































Done
DataLoader Done!
Initializing model variables...Done
Initializing trainable models...gen done
gen done
disc done
disc done
Defining optimizers...Done
Defining losses...Done
Initializing variables...Done
Setting logger...Done
Checking cuda...*Cuda exists*...Done
***Train***
[Train] Epoch: [1][1/100]	Time 5.306 (5.306)	Gen. Loss 0.0916 (0.0916)	Disc. Loss -0.0166 (-0.0166)	
[Train] Epoch: [1][2/100]	Time 0.440 (2.873)	Gen. Loss 0.0959 (0.0937)	Disc. Loss -0.0053 (-0.0109)	
[Train] Epoch: [1][3/100]	Time 0.442 (2.063)	Gen. Loss 0.1052 (0.0976)	Disc. Loss -0.0114 (-0.0111)	
[Train] Epoch: [1][4/100]	Time 0.441 (1.657)	Gen. Loss 0.1062 (0.0997)	Disc. Loss -0.0068 (-0.0100)	
[Train] Epoch: [1][5/100]	Time 0.442 (1.414)	Gen. Loss 0.1070 (0.1012)	Disc. Loss 0.0337 (-0.0013)	
[Train] Epoch: [1][6/100]	Time 0.441 (1.252)	Gen. Loss 0.1028 (0.1015)	Disc. Loss -0.0163 (-0.0038)	
[Train] Epoch: [1][7/100]	Time 0.442 (1.136)	Gen. Loss 0.1107 (0.1028)	Disc. Loss 0.0101 (-0.0018)	
[Train] Epoch: [1][8/100]	Time 0.442 (1.050)	Gen. Loss 0.1060 (0.1032)	Disc. Loss 0.0069 (-0.0007)	
[Train] Epoch: [1][9/100]	Time 0.442 (0.982)	Gen. Loss 0.1079 (0.1037)	Disc. Loss -0.0062 (-0.0013)	
[Train] Epoch: [1][10/100]	Time 0.441 (0.928)	Gen. Loss 0.1030 (0.1036)	Disc. Loss -0.0062 (-0.0018)	
[Train] Epoch: [1][11/100]	Time 0.442 (0.884)	Gen. Loss 0.1077 (0.1040)	Disc. Loss -0.0073 (-0.0023)	
[Train] Epoch: [1][12/100]	Time 0.441 (0.847)	Gen. Loss 0.1121 (0.1047)	Disc. Loss -0.0123 (-0.0031)	
[Train] Epoch: [1][13/100]	Time 0.441 (0.816)	Gen. Loss 0.1061 (0.1048)	Disc. Loss 0.0056 (-0.0025)	
[Train] Epoch: [1][14/100]	Time 0.442 (0.789)	Gen. Loss 0.1021 (0.1046)	Disc. Loss 0.0007 (-0.0022)	
[Train] Epoch: [1][15/100]	Time 0.442 (0.766)	Gen. Loss 0.0963 (0.1040)	Disc. Loss -0.0046 (-0.0024)	
[Train] Epoch: [1][16/100]	Time 0.441 (0.746)	Gen. Loss 0.1001 (0.1038)	Disc. Loss 0.0087 (-0.0017)	
